timestamp,UE ID type,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
2025-10-27T09:34:18.187460,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.187806,gNB-DU,,1,1,,,0.00,0.00,0.00,30,325
2025-10-27T09:34:18.187983,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.188291,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.188462,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.188818,gNB-DU,,1,1,,,0.00,0.00,0.00,30,325
2025-10-27T09:34:18.189212,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.189545,gNB-DU,,1,1,,,0.00,0.00,0.00,35,320
2025-10-27T09:34:18.189726,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.189969,gNB-DU,,1,1,,,0.00,0.00,0.00,30,300
2025-10-27T09:34:18.190144,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.190373,gNB-DU,,1,1,,,0.00,0.00,0.00,30,300
2025-10-27T09:34:18.190517,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.190788,gNB-DU,,1,1,,,0.00,0.00,0.00,30,320
2025-10-27T09:34:18.191041,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.191429,gNB-DU,,1,1,,,0.00,0.00,0.00,30,310
2025-10-27T09:34:18.191709,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.192077,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.192293,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.192540,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T09:34:18.192733,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.193108,gNB-DU,,1,1,,,0.00,0.00,0.00,30,325
2025-10-27T09:34:18.193347,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.193708,gNB-DU,,1,1,,,0.00,0.00,0.00,35,340
2025-10-27T09:34:18.193935,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.194295,gNB-DU,,1,1,,,0.00,0.00,0.00,30,305
2025-10-27T09:34:18.194556,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.194922,gNB-DU,,1,1,,,0.00,0.00,0.00,30,325
2025-10-27T09:34:18.195172,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.195483,gNB-DU,,1,1,,,0.00,0.00,0.00,35,320
2025-10-27T09:34:18.195700,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.196090,gNB-DU,,1,1,,,0.00,0.00,0.00,30,325
2025-10-27T09:34:18.196362,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.196738,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T09:34:18.196982,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.197459,gNB-DU,,1,1,,,0.00,0.00,0.00,35,335
2025-10-27T09:34:18.197692,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.198166,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-27T09:34:18.198437,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.198841,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T09:34:18.199083,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.199432,gNB-DU,,1,1,,,0.00,0.00,0.00,30,330
2025-10-27T09:34:18.199640,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.200005,gNB-DU,,1,1,,,0.00,0.00,0.00,35,325
2025-10-27T09:34:18.200263,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.200566,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
2025-10-27T09:34:18.200784,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.273625,gNB-DU,,1,1,,,0.00,0.00,0.00,30,335
2025-10-27T09:34:18.274336,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.275274,gNB-DU,,1,1,,,0.00,0.00,0.00,35,325
2025-10-27T09:34:18.275558,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.276141,gNB-DU,,1,1,,,0.00,0.00,0.00,30,335
2025-10-27T09:34:18.276698,gNB-CU-UP,1,,1,0,0,,,,,
2025-10-27T09:34:18.277510,gNB-DU,,1,1,,,0.00,0.00,0.00,35,330
