timestamp,gnb_cu_cp_ue_e1ap,gnb_cu_ue_f1ap,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl,label,prb_ul_per_thp,delay_median_w5,thp_dl_cv_w5,thp_dl_range_w5
2025-12-06 20:15:21.353497,1.0,1,1,0.029,0.01,187.44,0.030539999999999998,0.01245,958,2366,1.0,190.0401453783016,289.69,0.4257365984159892,63.88
2025-12-07 07:20:34.354598,1.0,1,1,0.08,0.009,870.53,0.08259,0.01129,2881,2112,1.0,187.0681853792573,591.93,0.2771075383747958,63.39
2026-08-15 13:15:50.959527,1.0,1,1,2.089,0.004,384.5,2.1103899999999998,0.00618,27670,1176,5.0,190.29123134446095,774.14,0.16271179565525673,907.21
2025-12-06 09:58:03.153817,1.0,1,1,1.445,0.063,111.17,1.45698,0.07643000000000001,2816,1210,0.0,15.831479578287588,104.83,0.283785915376009,1390.2199999999998
2025-11-17 11:38:24.778334,1.0,1,1,5.033,0.004,175.16,5.05633,0.00664,7640,1232,0.0,185.54214073160531,68.39,0.242435203670619,2103.0499999999997
2025-12-07 09:25:51.356102,1.0,1,1,0.132,0.014,68.0,0.1357,0.018,3088,3079,1.0,171.05554605246965,107.4,0.6323791350277078,104.57
2025-12-06 15:54:22.353473,1.0,1,1,0.086,0.013,127.0,0.08947,0.016579999999999998,1495,2740,1.0,165.25933864539576,74.1,0.29605409194331195,86.1
2026-08-15 16:22:40.948663,1.0,1,1,0.165,0.001,61.62,0.17262,0.0033799999999999998,5131,1000,5.0,295.8579006337572,74.46,0.02260898364980802,9.610000000000014
2025-12-07 06:36:27.353946,1.0,1,1,0.074,0.009,173.0,0.07676999999999999,0.011710000000000002,2265,2045,1.0,174.63704742638365,129.5,0.4314757717583814,81.83
2025-12-07 03:50:46.353615,1.0,1,1,0.057,0.008,30.5,0.059969999999999996,0.01011,1824,1700,1.0,168.15032955980917,50.5,0.8803050373678034,155.27
2025-12-06 23:50:47.353568,1.0,1,1,0.034,0.008,97.5,0.03573,0.009970000000000001,1280,2330,1.0,233.70107986950052,97.5,0.5364018876808553,93.61000000000001
2026-08-15 11:42:27.147218,1.0,1,1,15.242,0.004,170.76,15.324819999999999,0.0081,23007,1446,5.0,178.51849647919798,82.0,1.570942864835826,14195.029999999999
2025-12-06 16:44:43.353924,1.0,1,1,0.103,0.016,86.8,0.10732,0.01923,2470,2969,1.0,154.3941677382128,86.8,0.5508360495215678,80.63999999999999
2025-12-07 08:21:20.356044,1.0,1,1,0.155,0.018,111.67,0.15955000000000003,0.02206,3763,3212,1.0,145.60289457829128,155.6,0.5212006048012088,106.52000000000001
2025-12-07 06:09:09.355934,1.0,1,1,0.146,0.024,50.0,0.15113,0.02878,3637,3026,1.0,105.14245638837885,165.33,0.5030014277715175,107.28
2026-08-15 15:16:31.379617,1.0,1,1,0.062,0.001,84.4,0.06998,0.0024300000000000003,2259,1029,5.0,423.4566158614749,84.4,0.1779061303737151,47.0
2025-12-07 09:35:22.354073,1.0,1,1,0.084,0.01,976.44,0.08755,0.01251,2840,2239,1.0,178.9768042384649,497.75,0.6743851769247565,118.34
2026-08-15 15:12:01.239540,1.0,1,1,1.26,0.001,116.76,1.27433,0.00495,2399,1390,5.0,280.808024079187,111.2,0.039326071443337496,126.46000000000004
2025-12-07 03:33:39.353448,1.0,1,1,0.038,0.008,342.54,0.04052,0.01074,1178,2079,1.0,193.57540097063307,346.62,0.5047252934498521,86.05000000000001
2025-12-06 13:21:50.353508,1.0,1,1,0.028,0.004,46.5,0.02988,0.005900000000000001,1025,1726,1.0,292.54232329791125,158.0,0.8633509340978078,120.13000000000001
2025-12-07 08:03:59.356534,1.0,1,1,0.096,0.012,88.5,0.09916,0.01466,2895,2315,1.0,157.9126768135964,71.5,0.4714367301385039,94.09
2026-08-15 11:18:15.127079,1.0,1,1,2.844,0.103,87.22,2.86859,0.12353,5781,1645,5.0,13.316603146469658,100.8,0.9550075867591106,2576.2000000000003
2025-12-06 23:49:46.353649,1.0,1,1,0.134,0.011,161.0,0.13775,0.014150000000000001,3265,1812,1.0,128.05652805254218,120.71,0.4172505440046206,77.41
