INFO:root:✔ XGBoost model loaded
Waiting for xApp connection on port 4400
xApp connected: 10.244.0.190:47694
INFO:root:✔ XChain listening on socket 4400
 * Serving Flask app 'xchain_model'
 * Debug mode: off
[12:09:46] WARNING: /workspace/src/learner.cc:790: 
Parameters: { "approx_kernel", "predictor" } are not used.

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=6.220ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=6.222ms

INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.244.0.191:5001
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.891ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.894ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.855ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.857ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.858ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.860ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.259ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.262ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.940ms | Probs=[0.22034375 0.15157853 0.62807775] | End2end=1.943ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.795ms | Probs=[0.23008814 0.28662732 0.4832845 ] | End2end=1.797ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.940ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.943ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.978ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.981ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.908ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.910ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=1.884ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=1.887ms

INFO:root:UE=1.0 -> Predicted class: URLLC | Latency=2.477ms | Probs=[0.12250654 0.13143802 0.74605536] | End2end=2.481ms

