[2026-03-24 14:01:17,983] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 14:01:18,424] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 14:01:18,424] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 14:01:18,427] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 14:01:18,427] [INFO] xApp KCL listening on port 4500
[2026-03-24 14:01:35,427] [INFO] Client connected: ('10.244.0.25', 60516) | NUM_UES=5 | T=32.0s
[2026-03-24 14:05:21,064] [INFO] [2026-03-24T14:05:20.982984] UE 1/5 | ran_ue_id=1 | PRB=258.47 ThpDl=5.33 ThpUl=8062.43 RlcDelay=0.00 VolDL=4 VolUL=8002 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:05:21,065] [INFO] [2026-03-24T14:05:20.982984] UE 2/5 | ran_ue_id=2 | PRB=4.83 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:05:21,065] [INFO] [2026-03-24T14:05:20.982984] UE 3/5 | ran_ue_id=3 | PRB=11147.73 ThpDl=8082.81 ThpUl=5.48 RlcDelay=412.64 VolDL=8034 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:05:21,065] [INFO] [2026-03-24T14:05:20.982984] UE 4/5 | ran_ue_id=4 | PRB=4.83 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:05:21,065] [INFO] [2026-03-24T14:05:20.982984] UE 5/5 | ran_ue_id=5 | PRB=4.83 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:05:53,176] [INFO] [2026-03-24T14:05:52.983114] UE 1/5 | ran_ue_id=1 | PRB=267.31 ThpDl=5.30 ThpUl=8061.41 RlcDelay=0.00 VolDL=4 VolUL=8000 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:05:53,176] [INFO] [2026-03-24T14:05:52.983114] UE 2/5 | ran_ue_id=2 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:05:53,177] [INFO] [2026-03-24T14:05:52.983114] UE 3/5 | ran_ue_id=3 | PRB=11060.81 ThpDl=8080.45 ThpUl=5.49 RlcDelay=355.60 VolDL=8031 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:05:53,177] [INFO] [2026-03-24T14:05:52.983114] UE 4/5 | ran_ue_id=4 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:05:53,177] [INFO] [2026-03-24T14:05:52.983114] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:06:25,316] [INFO] [2026-03-24T14:06:24.983405] UE 1/5 | ran_ue_id=1 | PRB=252.47 ThpDl=5.25 ThpUl=8061.16 RlcDelay=0.00 VolDL=4 VolUL=7998 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:06:25,316] [INFO] [2026-03-24T14:06:24.983405] UE 2/5 | ran_ue_id=2 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:06:25,316] [INFO] [2026-03-24T14:06:24.983405] UE 3/5 | ran_ue_id=3 | PRB=10493.00 ThpDl=8078.98 ThpUl=5.51 RlcDelay=298.72 VolDL=8030 VolUL=4 | Load: Heavy  | PRB alloc: 7%
[2026-03-24 14:06:25,316] [INFO] [2026-03-24T14:06:24.983405] UE 4/5 | ran_ue_id=4 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:06:25,316] [INFO] [2026-03-24T14:06:24.983405] UE 5/5 | ran_ue_id=5 | PRB=4.84 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 29%
[2026-03-24 14:06:57,471] [INFO] [2026-03-24T14:06:56.983006] UE 1/5 | ran_ue_id=1 | PRB=28.50 ThpDl=0.49 ThpUl=755.21 RlcDelay=0.00 VolDL=0 VolUL=750 | Load: Light  | PRB alloc: 24%
