[2026-03-23 16:38:45,598] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-23 16:38:46,020] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-23 16:38:46,020] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-23 16:38:46,021] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-23 16:38:46,022] [INFO] xApp KCL listening on port 4500
[2026-03-23 16:39:20,515] [INFO] Client connected: ('10.244.0.25', 43808) | NUM_UES=5 | T=8.0s
[2026-03-23 16:40:35,675] [INFO] [2026-03-23T16:40:35.281404] UE 1/5 | ran_ue_id=1 | PRB=5.62 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 16:40:35,675] [INFO] [2026-03-23T16:40:35.281404] UE 2/5 | ran_ue_id=2 | PRB=5.62 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 16:40:35,675] [INFO] [2026-03-23T16:40:35.281404] UE 3/5 | ran_ue_id=3 | PRB=5.62 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 16:40:35,675] [INFO] [2026-03-23T16:40:35.281404] UE 4/5 | ran_ue_id=4 | PRB=5.62 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 16:40:35,676] [INFO] [2026-03-23T16:40:35.281404] UE 5/5 | ran_ue_id=5 | PRB=5.62 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 16:40:43,699] [INFO] [2026-03-23T16:40:43.282983] UE 1/5 | ran_ue_id=1 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 24%
[2026-03-23 16:40:43,699] [INFO] [2026-03-23T16:40:43.282983] UE 2/5 | ran_ue_id=2 | PRB=5164.00 ThpDl=2041.08 ThpUl=74.75 RlcDelay=89.38 VolDL=2030 VolUL=64 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 16:40:43,699] [INFO] [2026-03-23T16:40:43.282983] UE 3/5 | ran_ue_id=3 | PRB=5.62 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 24%
[2026-03-23 16:40:43,699] [INFO] [2026-03-23T16:40:43.282983] UE 4/5 | ran_ue_id=4 | PRB=279.50 ThpDl=79.86 ThpUl=2039.26 RlcDelay=70.31 VolDL=70 VolUL=2024 | Load: Medium | PRB alloc: 6%
[2026-03-23 16:40:43,700] [INFO] [2026-03-23T16:40:43.282983] UE 5/5 | ran_ue_id=5 | PRB=5.62 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 24%
