[2026-03-24 09:28:00,355] [INFO] Using device: cpu
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
/usr/local/lib/python3.11/site-packages/sklearn/base.py:463: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.6.1 when using version 1.8.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn(
[2026-03-24 09:28:00,782] [INFO] LR scaler loaded from /models/lr_scaler.pkl
[2026-03-24 09:28:00,783] [INFO] LogisticRegression loaded from /models/labeling_xapp.pkl
[2026-03-24 09:28:00,784] [INFO] ResourcexApp loaded from /models/resource_xapp.pth
[2026-03-24 09:28:00,785] [INFO] xApp KCL listening on port 4500
[2026-03-24 09:28:01,426] [INFO] Client connected: ('10.244.0.25', 52764) | NUM_UES=5 | T=8.0s
[2026-03-24 09:29:09,564] [INFO] [2026-03-24T09:29:08.591634] UE 5/5 | ran_ue_id=5 | PRB=1358.75 ThpDl=652.70 ThpUl=58.07 RlcDelay=328.20 VolDL=644 VolUL=49 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:29:17,584] [INFO] [2026-03-24T09:29:16.591593] UE 1/5 | ran_ue_id=1 | PRB=996.38 ThpDl=321.54 ThpUl=2709.32 RlcDelay=281.77 VolDL=282 VolUL=2653 | Load: Light  | PRB alloc: 12%
[2026-03-24 09:29:17,584] [INFO] [2026-03-24T09:29:16.591593] UE 2/5 | ran_ue_id=2 | PRB=1006.25 ThpDl=376.25 ThpUl=236.88 RlcDelay=309.37 VolDL=344 VolUL=203 | Load: Light  | PRB alloc: 12%
[2026-03-24 09:29:17,584] [INFO] [2026-03-24T09:29:16.591593] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 50%
[2026-03-24 09:29:17,584] [INFO] [2026-03-24T09:29:16.591593] UE 4/5 | ran_ue_id=4 | PRB=2378.62 ThpDl=1707.16 ThpUl=5.49 RlcDelay=407.76 VolDL=1696 VolUL=4 | Load: Heavy  | PRB alloc: 12%
[2026-03-24 09:29:17,584] [INFO] [2026-03-24T09:29:16.591593] UE 5/5 | ran_ue_id=5 | PRB=1313.12 ThpDl=652.49 ThpUl=57.91 RlcDelay=286.66 VolDL=644 VolUL=49 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:29:25,605] [INFO] [2026-03-24T09:29:24.591690] UE 1/5 | ran_ue_id=1 | PRB=1017.50 ThpDl=321.29 ThpUl=2703.40 RlcDelay=236.88 VolDL=282 VolUL=2647 | Load: Light  | PRB alloc: 12%
[2026-03-24 09:29:25,605] [INFO] [2026-03-24T09:29:24.591690] UE 2/5 | ran_ue_id=2 | PRB=1022.25 ThpDl=377.15 ThpUl=236.17 RlcDelay=333.46 VolDL=345 VolUL=202 | Load: Medium | PRB alloc: 12%
[2026-03-24 09:29:25,606] [INFO] [2026-03-24T09:29:24.591690] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 50%
[2026-03-24 09:29:25,606] [INFO] [2026-03-24T09:29:24.591690] UE 4/5 | ran_ue_id=4 | PRB=2348.62 ThpDl=1709.20 ThpUl=5.52 RlcDelay=463.22 VolDL=1698 VolUL=4 | Load: Heavy  | PRB alloc: 12%
