[2026-03-23 12:44:45,555] [INFO] [2026-03-23T12:44:45.376371] UE 5/5 | ran_ue_id=5 | PRB=4.50 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 24%
[2026-03-23 12:45:18,789] [INFO] [2026-03-23T12:45:18.376396] UE 1/5 | ran_ue_id=1 | PRB=1347.22 ThpDl=1010.70 ThpUl=0.80 RlcDelay=32.97 VolDL=1005 VolUL=1 | Load: Heavy  | PRB alloc: 14%
[2026-03-23 12:45:18,789] [INFO] [2026-03-23T12:45:18.376396] UE 2/5 | ran_ue_id=2 | PRB=40.67 ThpDl=0.77 ThpUl=1008.21 RlcDelay=0.00 VolDL=1 VolUL=1001 | Load: Heavy  | PRB alloc: 22%
[2026-03-23 12:45:18,789] [INFO] [2026-03-23T12:45:18.376396] UE 3/5 | ran_ue_id=3 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 22%
[2026-03-23 12:45:18,790] [INFO] [2026-03-23T12:45:18.376396] UE 4/5 | ran_ue_id=4 | PRB=5.19 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 22%
[2026-03-23 12:45:18,790] [INFO] [2026-03-23T12:45:18.376396] UE 5/5 | ran_ue_id=5 | PRB=5.00 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 22%
[2026-03-23 12:45:51,038] [INFO] [2026-03-23T12:45:50.375168] UE 1/5 | ran_ue_id=1 | PRB=5.17 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 12:45:51,038] [INFO] [2026-03-23T12:45:50.375168] UE 2/5 | ran_ue_id=2 | PRB=5.17 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 12:45:51,038] [INFO] [2026-03-23T12:45:50.375168] UE 3/5 | ran_ue_id=3 | PRB=5.17 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 12:45:51,039] [INFO] [2026-03-23T12:45:50.375168] UE 4/5 | ran_ue_id=4 | PRB=5.34 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 12:45:51,039] [INFO] [2026-03-23T12:45:50.375168] UE 5/5 | ran_ue_id=5 | PRB=5.34 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Light  | PRB alloc: 20%
[2026-03-23 12:46:23,304] [INFO] [2026-03-23T12:46:22.374769] UE 1/5 | ran_ue_id=1 | PRB=5.16 ThpDl=0.00 ThpUl=0.00 RlcDelay=0.00 VolDL=0 VolUL=0 | Load: Heavy  | PRB alloc: 20%
